Ano_Enem;Numero_Inscricao;UF_Prova;MUNICIPIO_PROVA;COR_RACA;SEXO;Idade;NOTA_CIENCIAS_HUMANAS;NOTA_LINGUAGENS_E_CODIGOS;NOTA_CIENCIAS_DA_NATUREZA;NOTA_MATEMATICA;NOTA_REDACAO;NOTA_MEDIA
2020;"        200001107664";11;1100015;Branca;Masculino;16;464.8;500.3;429.1;539.7;360;458.78
2020;"        200001125546";11;1100015;Parda;Masculino;16;536.3;486.8;535.4;625.2;280;492.74
2020;"        200001293093";11;1100023;Branca;Masculino;18;504.1;536.4;545.6;583.3;560;545.88
2020;"        200002431249";11;1100023;Parda;Feminino;19;501.6;626.8;462.8;501.9;820;582.62
2020;"        200002671984";11;1100023;Preta;Masculino;23;567.6;517.1;532.8;431.2;560;521.74
2020;"        200002766864";11;1100023;Preta;Feminino;17;598.1;611.3;480.5;466.3;640;559.24
2020;"        200004072909";11;1100023;Parda;Masculino;16;441.2;435.1;413.2;347.2;480;423.34
2020;"        200004498295";11;1100023;Amarela;Feminino;16;467.8;475.1;516.5;457.3;340;451.34
2020;"        200004774002";11;1100023;Preta;Feminino;19;487.6;414.3;380.6;383.3;360;405.16
2020;"        200005147800";11;1100023;Parda;Masculino;22;383.6;418.6;526;396.5;560;456.94
2020;"        200005560429";11;1100023;Parda;Feminino;16;471.2;461.2;485.4;448.8;360;445.32
2020;"        200005740472";11;1100023;Branca;Feminino;16;609.1;552.6;568.9;612.5;360;540.62
2020;"        200006366644";11;1100023;Parda;Masculino;17;567;519.5;444.5;593.4;860;596.88
2020;"        200006812185";11;1100023;Parda;Feminino;22;479.7;488.4;412.3;449.1;460;457.9
2020;"        200001416648";11;1100049;Parda;Feminino;19;668.2;657;624.3;540.1;740;645.92
2020;"        200001880552";11;1100049;Parda;Masculino;19;615.2;487;560.8;680.4;940;656.68
2020;"        200003168799";11;1100049;Branca;Feminino;18;351.9;475.3;418.7;415.5;540;440.28
2020;"        200003573247";11;1100049;Parda;Masculino;20;394.1;490.6;546.1;378;540;469.76
2020;"        200004105067";11;1100049;Branca;Masculino;16;592.9;552.9;546.9;542;520;550.94
2020;"        200004887887";11;1100049;Parda;Feminino;16;511.6;422;376.7;397.9;380;417.64
2020;"        200005044273";11;1100049;Parda;Feminino;22;593.4;525.8;530.8;627.9;760;607.58
2020;"        200005100775";11;1100049;Branca;Masculino;19;609.3;563.2;601;631.6;360;553.02
2020;"        200005302054";11;1100049;Parda;Feminino;19;564.6;545.4;523;467.9;700;560.18
2020;"        200005570089";11;1100049;Branca;Masculino;16;561.5;537.7;510;616;360;517.04
2020;"        200005627483";11;1100049;Parda;Masculino;18;464.8;537.2;519.4;463.3;520;500.94
2020;"        200005747524";11;1100049;Parda;Feminino;16;429.3;415.1;417.7;355;420;407.42
2020;"        200003891384";11;1100056;Parda;Feminino;17;587.3;596.9;592;584.9;880;648.22
2020;"        200003741203";11;1100064;Parda;Masculino;17;606.1;574.2;398.5;540;660;555.76
2020;"        200004238519";11;1100064;Parda;Feminino;18;445.6;452.1;441.4;454.5;360;430.72
2020;"        200004198277";11;1100098;Preta;Feminino;18;643.9;543.5;581;695.1;900;672.7
2020;"        200005732021";11;1100098;Parda;Masculino;19;630.3;567.2;612.9;649.5;360;563.98
2020;"        200001268133";11;1100106;Parda;Feminino;17;493.8;499.4;551.4;450.6;600;519.04
2020;"        200001320355";11;1100106;Parda;Feminino;20;365.6;331.7;515.5;383.1;420;403.18
2020;"        200001797096";11;1100106;Preta;Feminino;18;514.3;545.6;444.6;391.1;600;499.12
2020;"        200001990570";11;1100106;Branca;Feminino;17;426.7;526.8;478.8;332.9;560;465.04
2020;"        200004292435";11;1100106;Preta;Masculino;16;517.2;524.6;512.6;495.3;300;469.94
2020;"        200005303432";11;1100106;Parda;Feminino;18;479.4;551.5;457.8;464.9;600;510.72
2020;"        200005468404";11;1100106;Preta;Feminino;19;562.6;615.3;500;493.7;640;562.32
2020;"        200005570733";11;1100106;Branca;Feminino;19;455.9;595.3;549.9;544.6;640;557.14
2020;"        200005997022";11;1100106;Parda;Feminino;18;560.2;570.4;527.5;433.2;560;530.26
2020;"        200006318946";11;1100106;Parda;Feminino;20;496.6;500.7;463;392.7;620;494.6
2020;"        200001066586";11;1100114;Preta;Feminino;22;515.8;396;525.6;424.7;600;492.42
2020;"        200002874975";11;1100114;Parda;Feminino;18;485.6;439.7;458.8;389.1;500;454.64
2020;"        200003555616";11;1100114;Preta;Masculino;24;489.2;472.2;411;440.9;520;466.66
2020;"        200004484211";11;1100114;Parda;Feminino;21;401;487.2;380.2;505.4;480;450.76
2020;"        200005077235";11;1100114;Branca;Feminino;16;528.8;426.9;400.3;438.1;280;414.82
2020;"        200005475629";11;1100114;Preta;Feminino;19;490.9;459.7;500.2;410.1;460;464.18
2020;"        200001186955";11;1100122;Branca;Feminino;23;595.7;568.4;583.5;678.7;580;601.26
2020;"        200001668336";11;1100122;Branca;Feminino;17;508.2;545.2;447.6;408.9;600;501.98
2020;"        200001763109";11;1100122;Parda;Masculino;21;379.7;470.7;497.9;637.8;360;469.22
2020;"        200002371394";11;1100122;Parda;Feminino;19;406.5;387.2;428.9;481.8;340;408.88
2020;"        200003630487";11;1100122;Parda;Masculino;18;519.4;417.2;482.6;479.7;440;467.78
2020;"        200003709976";11;1100122;Preta;Masculino;16;497.1;505.2;463.3;496.1;320;456.34
2020;"        200003951931";11;1100122;Parda;Masculino;19;460.9;480.3;511.6;548.7;380;476.3
2020;"        200004069889";11;1100122;Parda;Masculino;18;431.2;451.3;421.6;416.9;520;448.2
2020;"        200005043017";11;1100122;Parda;Masculino;18;436.6;613;540.2;549.1;700;567.78
2020;"        200005116197";11;1100122;Parda;Feminino;18;513.8;499.6;462.3;618.5;360;490.84
2020;"        200005180277";11;1100122;Parda;Feminino;18;423.7;599.9;493;577.3;980;614.78
2020;"        200005510492";11;1100122;Preta;Masculino;16;354.3;576.8;537.6;353.3;540;472.4
2020;"        200006051761";11;1100122;Parda;Masculino;24;375.5;461.9;534.9;540.5;340;450.56
2020;"        200006077903";11;1100122;Branca;Feminino;17;610.6;649.9;524.3;565.1;820;633.98
