CODIGO_MUNICIPIO_DV;CODIGO_MUNICIPIO;NOME_MUNICIPIO;UF;UF_Codigo;UF_Nome;Municipio_Capital;Regiao_Codigo;Regiao_Nome;LONGITUDE;LATITUDE
1200013;120001;Acrelândia;AC;12;Acre;Não;1;Norte;-67.052317;-10.073794
1200054;120005;Assis Brasil;AC;12;Acre;Não;1;Norte;-69.563459;-10.942866
1200104;120010;Brasiléia;AC;12;Acre;Não;1;Norte;-68.747943;-11.016411
1200138;120013;Bujari;AC;12;Acre;Não;1;Norte;-67.951859;-9.820020
1200179;120017;Capixaba;AC;12;Acre;Não;1;Norte;-67.673508;-10.569768
1200203;120020;Cruzeiro do Sul;AC;12;Acre;Não;1;Norte;-72.672531;-7.630690
1200252;120025;Epitaciolândia;AC;12;Acre;Não;1;Norte;-68.744868;-11.028240
1200302;120030;Feijó;AC;12;Acre;Não;1;Norte;-70.353984;-8.160248
1200328;120032;Jordão;AC;12;Acre;Não;1;Norte;-71.950875;-9.193358
1200336;120033;Mâncio Lima;AC;12;Acre;Não;1;Norte;-72.916501;-7.593223
1200344;120034;Manoel Urbano;AC;12;Acre;Não;1;Norte;-69.259945;-8.836318
1200351;120035;Marechal Thaumaturgo;AC;12;Acre;Não;1;Norte;-72.790266;-8.953591
1200385;120038;Plácido de Castro;AC;12;Acre;Não;1;Norte;-67.188260;-10.335133
1200393;120039;Porto Walter;AC;12;Acre;Não;1;Norte;-72.742334;-8.266666
1200401;120040;Rio Branco;AC;12;Acre;Sim;1;Norte;-67.810529;-9.978299
1200427;120042;Rodrigues Alves;AC;12;Acre;Não;1;Norte;-72.647855;-7.733602
1200435;120043;Santa Rosa do Purus;AC;12;Acre;Não;1;Norte;-70.486497;-9.443407
1200450;120045;Senador Guiomard;AC;12;Acre;Não;1;Norte;-67.743172;-10.148174
1200500;120050;Sena Madureira;AC;12;Acre;Não;1;Norte;-68.655684;-9.065340
1200609;120060;Tarauacá;AC;12;Acre;Não;1;Norte;-70.755501;-8.155669
1200708;120070;Xapuri;AC;12;Acre;Não;1;Norte;-68.506295;-10.652072
1200807;120080;Porto Acre;AC;12;Acre;Não;1;Norte;-67.540590;-9.600858
1300029;130002;Alvarães;AM;13;Amazonas;Não;1;Norte;-64.813535;-3.216584
1300060;130006;Amaturá;AM;13;Amazonas;Não;1;Norte;-68.209615;-3.366805
1300086;130008;Anamã;AM;13;Amazonas;Não;1;Norte;-61.405903;-3.576370
1300102;130010;Anori;AM;13;Amazonas;Não;1;Norte;-61.658955;-3.745386
1300144;130014;Apuí;AM;13;Amazonas;Não;1;Norte;-59.885666;-7.197870
1300201;130020;Atalaia do Norte;AM;13;Amazonas;Não;1;Norte;-70.187989;-4.366157
1300300;130030;Autazes;AM;13;Amazonas;Não;1;Norte;-59.133567;-3.578664
1300409;130040;Barcelos;AM;13;Amazonas;Não;1;Norte;-62.925670;-0.972801
1300508;130050;Barreirinha;AM;13;Amazonas;Não;1;Norte;-57.067750;-2.798150
1300607;130060;Benjamin Constant;AM;13;Amazonas;Não;1;Norte;-70.027348;-4.374989
1300631;130063;Beruri;AM;13;Amazonas;Não;1;Norte;-61.371571;-3.894513
1300680;130068;Boa Vista do Ramos;AM;13;Amazonas;Não;1;Norte;-57.587707;-2.971727
1300706;130070;Boca do Acre;AM;13;Amazonas;Não;1;Norte;-67.399578;-8.751243
1300805;130080;Borba;AM;13;Amazonas;Não;1;Norte;-59.594559;-4.390620
1300839;130083;Caapiranga;AM;13;Amazonas;Não;1;Norte;-61.211334;-3.330093
1300904;130090;Canutama;AM;13;Amazonas;Não;1;Norte;-64.394231;-6.529106
1301001;130100;Carauari;AM;13;Amazonas;Não;1;Norte;-66.896635;-4.881666
1301100;130110;Careiro;AM;13;Amazonas;Não;1;Norte;-60.363810;-3.822447
1301159;130115;Careiro da Várzea;AM;13;Amazonas;Não;1;Norte;-59.826314;-3.197397
1301209;130120;Coari;AM;13;Amazonas;Não;1;Norte;-63.142184;-4.084219
1301308;130130;Codajás;AM;13;Amazonas;Não;1;Norte;-62.063430;-3.843046
1301407;130140;Eirunepé;AM;13;Amazonas;Não;1;Norte;-69.866290;-6.667353
1301506;130150;Envira;AM;13;Amazonas;Não;1;Norte;-70.030413;-7.439818
1301605;130160;Fonte Boa;AM;13;Amazonas;Não;1;Norte;-66.096503;-2.512271
1301654;130165;Guajará;AM;13;Amazonas;Não;1;Norte;-72.582431;-7.547774
1301704;130170;Humaitá;AM;13;Amazonas;Não;1;Norte;-63.026698;-7.512225
1301803;130180;Ipixuna;AM;13;Amazonas;Não;1;Norte;-71.694418;-7.050980
1301852;130185;Iranduba;AM;13;Amazonas;Não;1;Norte;-60.193388;-3.281054
1301902;130190;Itacoatiara;AM;13;Amazonas;Não;1;Norte;-58.440175;-3.140379
1301951;130195;Itamarati;AM;13;Amazonas;Não;1;Norte;-68.247917;-6.437799
1302009;130200;Itapiranga;AM;13;Amazonas;Não;1;Norte;-58.034546;-2.741843
1302108;130210;Japurá;AM;13;Amazonas;Não;1;Norte;-66.996903;-1.880845
1302207;130220;Juruá;AM;13;Amazonas;Não;1;Norte;-66.063042;-3.474890
1302306;130230;Jutaí;AM;13;Amazonas;Não;1;Norte;-66.771328;-2.744646
1302405;130240;Lábrea;AM;13;Amazonas;Não;1;Norte;-64.794773;-7.261947
1302504;130250;Manacapuru;AM;13;Amazonas;Não;1;Norte;-60.620589;-3.298278
1302553;130255;Manaquiri;AM;13;Amazonas;Não;1;Norte;-60.458881;-3.429080
1302603;130260;Manaus;AM;13;Amazonas;Sim;1;Norte;-60.023335;-3.134691
1302702;130270;Manicoré;AM;13;Amazonas;Não;1;Norte;-61.299248;-5.813205
1302801;130280;Maraã;AM;13;Amazonas;Não;1;Norte;-65.574284;-1.866437
1302900;130290;Maués;AM;13;Amazonas;Não;1;Norte;-57.715034;-3.386428
1303007;130300;Nhamundá;AM;13;Amazonas;Não;1;Norte;-56.716770;-2.188984
1303106;130310;Nova Olinda do Norte;AM;13;Amazonas;Não;1;Norte;-59.093074;-3.887593
1303205;130320;Novo Airão;AM;13;Amazonas;Não;1;Norte;-60.948811;-2.623432
1303304;130330;Novo Aripuanã;AM;13;Amazonas;Não;1;Norte;-60.377046;-5.122669
1303403;130340;Parintins;AM;13;Amazonas;Não;1;Norte;-56.736292;-2.627053
1303502;130350;Pauini;AM;13;Amazonas;Não;1;Norte;-67.002097;-7.714044
1303536;130353;Presidente Figueiredo;AM;13;Amazonas;Não;1;Norte;-60.025647;-2.058429
1303569;130356;Rio Preto da Eva;AM;13;Amazonas;Não;1;Norte;-59.704738;-2.693302
1303601;130360;Santa Isabel do Rio Negro;AM;13;Amazonas;Não;1;Norte;-65.020023;-0.416695
1303700;130370;Santo Antônio do Içá;AM;13;Amazonas;Não;1;Norte;-67.946485;-3.107486
1303809;130380;São Gabriel da Cachoeira;AM;13;Amazonas;Não;1;Norte;-67.083643;-0.136463
1303908;130390;São Paulo de Olivença;AM;13;Amazonas;Não;1;Norte;-68.944853;-3.466510
1303957;130395;São Sebastião do Uatumã;AM;13;Amazonas;Não;1;Norte;-57.870346;-2.570153
1304005;130400;Silves;AM;13;Amazonas;Não;1;Norte;-58.214801;-2.836427
1304062;130406;Tabatinga;AM;13;Amazonas;Não;1;Norte;-69.946244;-4.231884
1304104;130410;Tapauá;AM;13;Amazonas;Não;1;Norte;-63.187095;-5.624224
1304203;130420;Tefé;AM;13;Amazonas;Não;1;Norte;-64.708420;-3.348372
1304237;130423;Tonantins;AM;13;Amazonas;Não;1;Norte;-67.776482;-2.861091
1304260;130426;Uarini;AM;13;Amazonas;Não;1;Norte;-65.155346;-2.983609
1304302;130430;Urucará;AM;13;Amazonas;Não;1;Norte;-57.759828;-2.536612
1304401;130440;Urucurituba;AM;13;Amazonas;Não;1;Norte;-58.159641;-3.134633
1600055;160005;Serra do Navio;AP;16;Amapá;Não;1;Norte;-52.003538;0.897841
1600105;160010;Amapá;AP;16;Amapá;Não;1;Norte;-50.793214;2.053921
1600154;160015;Pedra Branca do Amaparí;AP;16;Amapá;Não;1;Norte;-51.946594;0.776883
1600204;160020;Calçoene;AP;16;Amapá;Não;1;Norte;-50.944773;2.496559
1600212;160021;Cutias;AP;16;Amapá;Não;1;Norte;-50.801626;0.971078
1600238;160023;Ferreira Gomes;AP;16;Amapá;Não;1;Norte;-51.187429;0.853977
1600253;160025;Itaubal;AP;16;Amapá;Não;1;Norte;-50.700179;0.600653
1600279;160027;Laranjal do Jari;AP;16;Amapá;Não;1;Norte;-52.539021;-0.855665
1600303;160030;Macapá;AP;16;Amapá;Sim;1;Norte;-51.057405;0.038951
1600402;160040;Mazagão;AP;16;Amapá;Não;1;Norte;-51.286077;-0.124396
1600501;160050;Oiapoque;AP;16;Amapá;Não;1;Norte;-51.830553;3.851131
1600535;160053;Porto Grande;AP;16;Amapá;Não;1;Norte;-51.414449;0.712555
1600550;160055;Pracuúba;AP;16;Amapá;Não;1;Norte;-50.784254;1.742508
1600600;160060;Santana;AP;16;Amapá;Não;1;Norte;-51.172846;-0.038373
1600709;160070;Tartarugalzinho;AP;16;Amapá;Não;1;Norte;-50.912786;1.509848
1600808;160080;Vitória do Jari;AP;16;Amapá;Não;1;Norte;-52.419615;-0.918977
1500107;150010;Abaetetuba;PA;15;Pará;Não;1;Norte;-48.884404;-1.723470
