NU_ANO,UF,Nome_Municipio,VL_ADICIONADO_BRUTO_AGROPECUARIA,VL_ADICIONADO_BRUTO_INDUSTRIA,VL_ADICIONADO_BRUTO_SERVICOS,VL_ADICIONADO_BRUTO_ADMINISTRACA,VL_ADICIONADO_BRUTO_TOTAL,VL_IMPOSTOS_LIQUIDOS_SUBSIDIOS,VL_PIB_PRECOS_CORRENTES,VL_PIB_PER_CAPTA_PRECOS_CORRENTE,NU_NOTA_CN_Mean,NU_NOTA_CN_StdDev,NU_NOTA_CN_Min,NU_NOTA_CN_Max,NU_NOTA_CN_N,NU_NOTA_CN_P10,NU_NOTA_CN_Q1,NU_NOTA_CN_Median,NU_NOTA_CN_Q3,NU_NOTA_CN_P90,NU_NOTA_CN_P95,NU_NOTA_CN_P99,NU_NOTA_CN_CV,NU_NOTA_CH_Mean,NU_NOTA_CH_StdDev,NU_NOTA_CH_Min,NU_NOTA_CH_Max,NU_NOTA_CH_N,NU_NOTA_CH_P10,NU_NOTA_CH_Q1,NU_NOTA_CH_Median,NU_NOTA_CH_Q3,NU_NOTA_CH_P90,NU_NOTA_CH_P95,NU_NOTA_CH_P99,NU_NOTA_CH_CV,NU_NOTA_LC_Mean,NU_NOTA_LC_StdDev,NU_NOTA_LC_Min,NU_NOTA_LC_Max,NU_NOTA_LC_N,NU_NOTA_LC_P10,NU_NOTA_LC_Q1,NU_NOTA_LC_Median,NU_NOTA_LC_Q3,NU_NOTA_LC_P90,NU_NOTA_LC_P95,NU_NOTA_LC_P99,NU_NOTA_LC_CV,NU_NOTA_MT_Mean,NU_NOTA_MT_StdDev,NU_NOTA_MT_Min,NU_NOTA_MT_Max,NU_NOTA_MT_N,NU_NOTA_MT_P10,NU_NOTA_MT_Q1,NU_NOTA_MT_Median,NU_NOTA_MT_Q3,NU_NOTA_MT_P90,NU_NOTA_MT_P95,NU_NOTA_MT_P99,NU_NOTA_MT_CV,NU_NOTA_REDACAO_Mean,NU_NOTA_REDACAO_StdDev,NU_NOTA_REDACAO_Min,NU_NOTA_REDACAO_Max,NU_NOTA_REDACAO_N,NU_NOTA_REDACAO_P10,NU_NOTA_REDACAO_Q1,NU_NOTA_REDACAO_Median,NU_NOTA_REDACAO_Q3,NU_NOTA_REDACAO_P90,NU_NOTA_REDACAO_P95,NU_NOTA_REDACAO_P99,NU_NOTA_REDACAO_CV,LATITUDE,LONGITUDE
2019,RO,Alta Floresta d`Oeste,"162,668","14,441","130,220","158,948","466,278","29,351","495,629","21,600.73",466.84444444,66.631751555,338.3,641.4,297,378.2,414.3,459.5,517.8,558.3,584.8,619.6,14.272795221,493.86565657,76.360379339,0,662.4,297,403.1,441.5,495.7,553.7,583.6,603,642.4,15.461771501,504.00875421,64.781162731,0,645.3,297,422.5,472,508.7,547.9,573.7,588.7,631.4,12.853182051,500.19461279,90.068478291,359.2,761.8,297,398.6,429.5,480.5,570.8,634.9,669.6,723.5,18.006686995,569.36026936,147.01510369,240,960,297,380,480,580,640,760,860,940,25.821103369,-11.92,-61.99
2019,RO,Ariquemes,"170,831","283,899","1,136,039","703,663","2,294,432","284,398","2,578,830","23,908.38",462.97081612,66.628117076,328.1,722.4,1936,375.5,409.5,460.7,512.1,556.1,575.4,610,14.391429169,494.90413223,75.762566237,0,725.1,1936,394.5,438.65,499,554.35,588,608.7,644,15.308533775,510.38068182,58.112831965,0,660.2,1936,436.1,477.5,515,549.65,578.5,594.1,620.9,11.386173896,498.97215909,88.85044232,359,812.6,1936,396.9,427.7,483.3,557.7,629.6,666.6,726,17.80669336,555.27892562,132.18350994,220,960,1936,380,480,560,620,720,780,900,23.804885048,-9.91,-63.04
2019,RO,Cabixi,"61,501","3,267","25,547","43,646","133,961","5,998","139,959","26,347.78",460.12307692,68.391378356,337.6,616.5,52,374.1,407.85,452.45,516.9,551.1,565.2,616.5,14.863714034,485.05576923,74.71122816,325.5,626.6,52,377.2,443.45,485.85,544,571.1,605.8,626.6,15.402605824,498.72884615,51.562877422,360.5,595.8,52,424.1,470.45,502.8,536.2,563.7,574.8,595.8,10.338860048,506.65576923,89.253280081,366.9,713.3,52,385.1,441.3,494.6,577.85,624.2,654.5,713.3,17.616157853,531.92307692,123.8126108,260,840,52,340,470,560,600,640,720,840,23.276412733,-13.49,-60.54
2019,RO,Cacoal,"193,077","178,514","1,070,827","564,238","2,006,655","253,988","2,260,644","26,483.95",469.70927384,67.767042794,328.6,664.6,2286,382.6,417.6,465,517.7,560.3,587.4,629.5,14.427444074,498.02370954,79.011364983,0,701.2,2286,394.8,441.9,501.8,556.9,592.7,617.8,660.6,15.864980616,512.8552056,59.869391591,0,687.1,2286,431.1,479.9,518.85,554.6,581.7,596.5,626.8,11.673741621,510.24825022,95.248039816,359.9,871.6,2286,397.2,435.5,492.2,578.5,647.4,685.9,753.2,18.666999794,561.3648294,144.5986549,160,960,2286,360,480,560,640,740,820,920,25.758410098,-11.43,-61.44
2019,RO,Cerejeiras,"70,992","16,167","230,623","112,401","430,183","76,671","506,854","31,051.55",475.96086957,71.213701635,338.3,664.7,230,390.05,419.9,467.35,524.9,583.3,598,638.2,14.962091674,497.90565217,73.977241356,330.6,644.8,230,384.35,447.8,501.15,553.1,595.25,614.9,643.7,14.857682582,513.13565217,53.647917692,343.9,641.3,230,437.2,487.5,519.6,547.9,574.75,591.8,624.4,10.454919175,511.16347826,95.857433104,363.8,754.6,230,401.3,425.9,499,577,652.05,684.7,725.8,18.752793809,579.13043478,139.37831535,220,940,230,380,500,580,660,740,800,920,24.066826224,-13.18,-60.81
2019,RO,Colorado do Oeste,"72,324","20,610","110,968","108,878","312,781","22,070","334,851","21,083.70",470.47761194,69.569288815,356.8,668.9,201,384.3,416.2,467,523.2,571.2,591.9,617.3,14.78694991,500.8238806,72.274881715,334.5,689.8,201,399,452.1,502.6,548.6,596.4,612.8,672.6,14.431197176,509.93333333,52.977171813,363.1,629.8,201,440.5,477.8,514.7,550.7,573.2,583.6,615.1,10.389038792,509.6318408,95.162844015,361.1,792.3,201,399.1,440.4,490.2,567.6,652.2,686.3,768.9,18.672860759,557.41293532,134.60042211,220,900,201,360,480,560,620,740,780,880,24.147344559,-13.11,-60.54
2019,RO,Corumbiara,"238,296","8,457","33,355","58,592","338,700","10,548","349,247","47,253.06",462.21,69.935764666,337.6,618.1,40,366.7,404.8,474.25,515.3,542.3,558.05,618.1,15.130733793,486.175,57.792496851,400.8,669.7,40,412.1,440.35,480.9,524.2,556.7,576.2,669.7,11.887179894,487.3625,58.777021882,348.6,619.2,40,404.15,456.2,502.55,527.25,550.15,579.6,619.2,12.060226604,486.485,81.517176261,360.3,668.6,40,398.5,432.3,456.95,533.15,625.75,645.95,668.6,16.756359654,533,111.81945154,260,720,40,340,510,540,600,660,700,720,20.979259201,-12.96,-60.88
2019,RO,Costa Marques,"67,535","4,287","45,147","113,579","230,548","8,220","238,769","13,025.40",430.5780303,53.570608773,337.7,583.7,132,369,390.5,420.2,465.95,509.5,527,565.9,12.441556467,472.08409091,71.388311132,0,605.7,132,404,432.45,471.15,522,552.3,566.8,591.7,15.121948082,483.95681818,55.759322218,352.5,659.7,132,404.6,439.95,491.4,526.9,545.8,561.3,585.7,11.521549056,469.96818182,73.599395656,359.3,702.1,132,393.1,412,448.5,508.6,578.1,622.7,679.8,15.660506073,511.81818182,112.48625485,240,840,132,360,440,520,580,620,680,780,21.977776258,-12.44,-64.22
2019,RO,Espigão d`Oeste,"128,213","47,842","193,941","201,263","571,259","53,501","624,760","19,298.21",467.98275194,62.928896483,340.8,672.2,516,387.8,419.55,466.05,510.55,554.3,579.1,615,13.446840983,499.72364341,71.45179068,318.5,674.1,516,408.2,442.95,503.9,550.6,591.1,615,645.5,14.298260973,507.05135659,53.610308186,327.6,662.6,516,429,476.65,515.85,543.5,567.5,582,613.1,10.572954295,508.50930233,92.930531266,360.3,825.3,516,401.1,436.45,493.05,561.45,647.9,693.3,754.3,18.275089726,557.01550388,134.09027445,240,920,516,360,480,560,640,720,800,880,24.072987828,-11.52,-61.01
2019,RO,Guajará-Mirim,"49,489","24,141","394,562","297,713","765,906","126,978","892,883","19,337.36",438.80626468,58.380627006,331.6,742.5,1277,368.7,396,429.9,475.8,522,545,593.9,13.304419673,468.62051684,68.191828945,316.4,768.2,1277,378.3,418.4,466.7,517.9,559.5,580.3,615,14.551609777,489.82341425,57.067474018,331.1,642.8,1277,411,449.7,495,531.9,560,578.7,607.1,11.650621909,466.35638215,76.647843292,359.2,826,1277,385.2,407.3,449.5,506.1,579.2,619,684.9,16.435465714,500.10963195,133.25554871,140,980,1277,320,420,500,580,660,720,860,26.645267397,-10.78,-65.33
